ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93117,4,2017,Elec- Agricultural,Y,0,0,
93117,5,2017,Elec- Agricultural,Y,0,0,
93117,6,2017,Elec- Agricultural,Y,0,0,
93203,4,2017,Elec- Agricultural,Y,0,0,
93203,5,2017,Elec- Agricultural,Y,161,"9,619,455","59,748"
93203,6,2017,Elec- Agricultural,Y,161,"10,607,508","65,885"
93204,4,2017,Elec- Agricultural,Y,0,0,
93204,5,2017,Elec- Agricultural,Y,0,0,
93204,6,2017,Elec- Agricultural,Y,0,0,
93206,4,2017,Elec- Agricultural,Y,0,0,
93206,5,2017,Elec- Agricultural,Y,0,0,
93206,6,2017,Elec- Agricultural,Y,0,0,
93210,4,2017,Elec- Agricultural,N,88,"1,930,888","21,942"
93210,5,2017,Elec- Agricultural,N,90,"4,254,771","47,275"
93210,6,2017,Elec- Agricultural,Y,0,0,
93212,4,2017,Elec- Agricultural,Y,252,"5,359,938","21,270"
93212,5,2017,Elec- Agricultural,Y,215,"7,440,432","34,607"
93212,6,2017,Elec- Agricultural,Y,0,0,
93215,4,2017,Elec- Agricultural,Y,0,0,
93215,5,2017,Elec- Agricultural,Y,0,0,
93215,6,2017,Elec- Agricultural,Y,0,0,
93219,4,2017,Elec- Agricultural,Y,0,0,
93219,5,2017,Elec- Agricultural,Y,0,0,
93219,6,2017,Elec- Agricultural,Y,0,0,
93225,4,2017,Elec- Agricultural,Y,0,0,
93225,5,2017,Elec- Agricultural,Y,0,0,
93225,6,2017,Elec- Agricultural,Y,0,0,
93230,4,2017,Elec- Agricultural,N,379,"2,347,789","6,195"
93230,5,2017,Elec- Agricultural,N,379,"4,865,095","12,837"
93230,6,2017,Elec- Agricultural,N,383,"6,920,816","18,070"
93234,4,2017,Elec- Agricultural,Y,0,0,
93234,5,2017,Elec- Agricultural,Y,0,0,
93234,6,2017,Elec- Agricultural,Y,0,0,
93239,4,2017,Elec- Agricultural,Y,0,0,
93239,5,2017,Elec- Agricultural,Y,0,0,
93239,6,2017,Elec- Agricultural,Y,0,0,
93241,4,2017,Elec- Agricultural,Y,0,0,
93241,5,2017,Elec- Agricultural,Y,0,0,
93241,6,2017,Elec- Agricultural,Y,0,0,
93242,4,2017,Elec- Agricultural,Y,0,0,
93242,5,2017,Elec- Agricultural,Y,0,0,
93242,6,2017,Elec- Agricultural,Y,0,0,
93243,4,2017,Elec- Agricultural,Y,0,0,
93243,5,2017,Elec- Agricultural,Y,0,0,
93243,6,2017,Elec- Agricultural,Y,0,0,
93245,4,2017,Elec- Agricultural,Y,594,"2,952,425","4,970"
93245,5,2017,Elec- Agricultural,Y,601,"4,129,962","6,872"
93245,6,2017,Elec- Agricultural,Y,820,"17,364,690","21,176"
93249,4,2017,Elec- Agricultural,Y,0,0,
93249,5,2017,Elec- Agricultural,Y,0,0,
93249,6,2017,Elec- Agricultural,Y,0,0,
93250,4,2017,Elec- Agricultural,Y,0,0,
93250,5,2017,Elec- Agricultural,Y,0,0,
93250,6,2017,Elec- Agricultural,Y,0,0,
93251,4,2017,Elec- Agricultural,Y,0,0,
93251,5,2017,Elec- Agricultural,Y,0,0,
93251,6,2017,Elec- Agricultural,Y,0,0,
93252,4,2017,Elec- Agricultural,Y,0,0,
93252,5,2017,Elec- Agricultural,Y,0,0,
93252,6,2017,Elec- Agricultural,Y,0,0,
93254,4,2017,Elec- Agricultural,Y,0,0,
93254,5,2017,Elec- Agricultural,Y,0,0,
93254,6,2017,Elec- Agricultural,Y,0,0,
