Zipcode,Latitude,Longitude,Supply_KW,Demand_Month_1_KWh,Demand_Month_2_KWh,Demand_Month_3_KWh,Demand_Month_4_KWh,Demand_Month_5_KWh,Demand_Month_6_KWh,Demand_Month_7_KWh,Demand_Month_8_KWh,Demand_Month_9_KWh,Demand_Month_10_KWh,Demand_Month_11_KWh,Demand_Month_12_KWh
93101,34.418979,-119.709166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93105,34.533221999999995,-119.791731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93110,34.446201,-119.762794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93111,34.449185,-119.804782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93117,34.479453,-120.084094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93201,35.856859,-119.507526,993.279,211568.0,159198.0,145162.0,126413.0,179047.0,265718.0,322380.0,303485.0,215400.0,135425.0,141149.0,224908.0
93203,35.112617,-118.832292,3234.0840000000003,4867570.0,5492170.0,10991078.0,5670875.0,17045838.0,20111345.0,22509895.0,22342541.0,8570872.0,6599305.0,5931628.0,6441214.0
93204,35.889811,-120.06858999999999,36.03100000000001,1085933.0,833937.0,784285.0,711927.0,1093595.0,1758458.0,2267923.0,8921539.0,1546072.0,873686.0,801992.0,1101371.0
93206,35.437302,-119.47773500000001,14416.025,9164207.0,267818.0,253347.0,233556.0,358716.0,584574.0,744530.0,707861.0,471882.0,263270.0,259914.0,392978.0
93210,36.197784999999996,-120.422249,11048.324000000002,9283708.0,1816301.0,6639685.0,6030734.0,9446030.0,6753772.0,4864344.0,9043916.0,6893935.0,17398626.0,16390511.0,9577707.0
93212,36.042151000000004,-119.5277,5052.309,2285132.0,6428955.0,7522520.0,7006740.0,9973453.0,3902902.0,4833594.0,21673582.0,13009992.0,13875035.0,5679644.0,6184162.0
93215,35.779507,-119.200825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93219,35.873666,-119.28155100000001,0.0,98493.0,73444.0,69666.0,61690.0,79995.0,109776.0,135262.0,131841.0,99715.0,69753.0,72959.0,116152.0
93224,35.228199,-119.569304,0.0,140137.0,109859.0,108901.0,98286.0,126477.0,169906.0,213114.0,210222.0,150804.0,107867.0,103575.0,134775.0
93225,34.768503,-119.030293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
